"Title","Description","Country","Budget","Total Ratio","GDO Classification","Seven Flagship Classification"
"Guarantee a sustainable management of waters system and improvement of environmental quality  - Sewage and sewage treatment","Investments in sewage systems and sewage treatment plants with the priority aim of helping to overcome EU infringement procedures in this area and for the expected improvement of the quality of receiving water bodies. Development of green plants to reuse the waste treated waters for industry and lands irrigation","Italy","600","0.31","Green","Other/Uncategorised"
"Guarantee a sustainable management of waters system and improvement of environmental quality  - Water management regulation","Measures to improve the management of water services  in the south of Italy","Italy","0","0","Green","Other/Uncategorised"
"Guarantee a sustainable management of waters system and improvement of environmental quality  - Water supply regulation updates","Simplify the current regulation and procedures to facilitate the interventions","Italy","0","0","Green","Other/Uncategorised"
"High railway - European Rail Transport Management Systems","To update safety system to be in line with ERTMS and optimised the rail lines","Italy","2970","1.55","Green","Recharge and Refuel"
"High railway - Interconnected railways","Projects to improve the following lines: Roma-Pescara, Orta-Falconara, Taranto-Metaponto-Potenza-Battipaglia","Italy","1580","0.83","Green","Recharge and Refuel"
"High railway - New iter to accelerate contract approval between MIMS and RFI","To accelerate the iter for approval of contract betweeen MIMS and RFI to foster the implementation of projects","Italy","0","0","Green","Recharge and Refuel"
"High railway - New measures to accelerate projects approvals","To change measures to foster projects approvals","Italy","0","0","Green","Recharge and Refuel"
"High railway - Railway works for the mobility and fast connection towards Europe","Projects to improve the following lines: Brescia-Verona-Vicenza, Liguria-Alpi, Verona-Brennero","Italy","8570","4.48","Green","Recharge and Refuel"
"High railway - Railway works for the mobility and fast connection towards the south","Projects to improve the following lines: Napoli-Bari, Palermo-Catania-Messina, Salerno-Reggio-Calabria","Italy","4640","2.42","Green","Recharge and Refuel"
"Infrastructures - Multilingualism and new competences","The integration into curricular disciplines of activities, methodologies and contents related to developing and  strengthening STEM and digitalisation and innovation skills, in all levels of education","Italy","1100","0.57","Digital","Reskill and Upskill"
"Infrastructures - Retrofit and safety schools","To improve the safety of school building and their energy impact","Italy","3900","2.04","Green","Renovate"
"Infrastructures - School : innovative schools, wiring, new classrooms and laboratories","The reform aims to align the curricula of technical and professional institutes to the demand emanating from the productive territories of the country. Moving towards connected learning environments, and creating professional IT labs","Italy","2100","1.1","Other","Reskill and Upskill"
"Infrastructures - University advanced didactics and  competences","To innovate and improve the qualiry of university education programs. 1) Includings programs about IT and environment for PhDs,2) programs for professors (TLC), 3) programs on digital for students (DEH), 4) improve of programs for PhDs, 5) Education abroad activities, 4) internationalization of AFAM schools","Italy","500","0.26","Other","Reskill and Upskill"
"Intermodal transport and integrated logistic - Airports digitization","Development and connectivity of ""Unmanned Traffic Management System"" ti digitalize the information","Italy","110","0.06","Green","Recharge and Refuel"
"Intermodal transport and integrated logistic - Digitization of logistic","A renovation of the national logistics sector with a comprehensive digitization strategy to improve competivity and simplify the processes","Italy","250","0.13","Green","Recharge and Refuel"
"Intermodal transport and integrated logistic - Digitization of maritime freights and passengers transport","Iter connect all the Port Community Systems","Italy","0","0","Green","Recharge and Refuel"
"Intermodal transport and integrated logistic - Digitization procedures implemented","Adoption of eCMR","Italy","0","0","Green","Recharge and Refuel"
"Intermodal transport and integrated logistic - Simplify import/export","To create a ""Sportello Unico dei Controlli"" to cordinate better the customs at the national borders","Italy","0","0","Green","Recharge and Refuel"
"International leadership on R&D and industry on main renewable technologies for transition - Electric buses","To support investments to expand sustainable bus industry","Italy","300","0.16","Green","Recharge and Refuel"
"International leadership on R&D and industry on main renewable technologies for transition - Hydrogen","To support investments on hydrogen industry, to create local knowledge about this field","Italy","450","0.23","Green","Recharge and Refuel"
"International leadership on R&D and industry on main renewable technologies for transition - Renewables and batteries","To support investments on photovoltaic, wind and batteries industry","Italy","1000","0.52","Green","Recharge and Refuel"
"International leadership on R&D and industry on main renewable technologies for transition - Start-up and JV on green economy transition","Introduction of a fund ""Green Transition Fund"" for development of start-ups and join ventures capital with focus on green sectors","Italy","250","0.13","Green","Other/Uncategorised"
"PhDs - Extention of number of PhDs for pulic administration and heritage","Increase the number of PhDs financing scholarships","Italy","430","0.22","Other","Reskill and Upskill"
"PhDs - Reform","To increase the number of PhDs not finalised to academic careers","Italy","0","0","Other","Reskill and Upskill"
"Prevent and counter the effects of climate change on hydrogeological disruption and on vulnerability of ecosystems - Floodings","To secure area at flood risk and intervention to reduce the residual risk","Italy","2490","1.3","Green","Other/Uncategorised"
"Prevent and counter the effects of climate change on hydrogeological disruption and on vulnerability of ecosystems - Lands and municipality energy efficiency","to secure and requalify lands, services and buildings in urban areas (small/medium interventions)","Italy","6000","3.13","Green","Other/Uncategorised"
"Prevent and counter the effects of climate change on hydrogeological disruption and on vulnerability of ecosystems - New measures to plan interventions on hydrogeological disruption","To revise the normative to foster the procedures to start interventions related to hydrogeological disruptio. To improve the technical support to bodies in charge. Digitalization of flow of information","Italy","0","0","Green","Other/Uncategorised"
"Production and distribution of renewables - Green energy communities and auto-consumptions","Support small communities. To install 2 GW of distributed renewable energy and storages (around 2500 GWh/y - less 1.5 Mton CO2)","Italy","2200","1.15","Green","Power Up"
"Production and distribution of renewables - New legal framework to sustain renewable power plants","Updated national legal framework uniformed and simplified to develop renewable power plants.","Italy","0","0","Green","Power Up"
"Production and distribution of renewables - New legislation for production and consumption of renewable natural gas (biomethane)","New legal framework to allow the use and production of biomethane","Italy","0","0","Green","Power Up"
"Production and distribution of renewables - Support to the industry supply-chain in the Agro-photovoltaic","To increase the investment in photovoltaic supporting the development of integrated to agriculture systmes without compromise the use of the lands for agriculture. To install 2 GW of Agro-photovoltaic (2500 GWh/y - less 1.5 Mton CO2)","Italy","1100","0.57","Green","Power Up"
"Production and distribution of renewables-  Support to the industry supply-chain in technical sectors related to offshore","Support the development of offshore energy (wind and marine energy). To install 200 MW (490 GWh/y 0.286 Mton CO2)","Italy","680","0.36","Green","Power Up"
"Production and distribution of renewables- Support to the industry supply-chain in technical sectors related biomethane","Convert agri-biogas plants for biomethane production, to build new plants. Greening gas grid with biomethane (2.3-2.5 mld m3)","Italy","1920","1","Green","Power Up"
"Production, distribution and use of Green Hydrogen - Hydrogen use in rail transport","This investment aims to introduce hydrogen-powered trains into the national rail network.  FCH (Fuel Cell Hydrogen) propulsion can replace old diesel trains where rail electrification is not economically feasible. It also includes the R&D activities about refuelling stations for trains  with high pressure electrolysers and hydrogen storage advanced techniques. (9 refueling station in 6 train-lines)","Italy","300","0.16","Green","Power Up"
"Production, distribution and use of Green Hydrogen - Network of Hydrogen refuelling stations network","The aim is to realize infrastructures for hydrogen refuelling stations to decarbonise the road freights transport sector","Italy","230","0.12","Green","Power Up"
"Production, distribution and use of Green Hydrogen - Production of hydrogen in disused areas","The investment will allow the local use of hydrogen in industry, creating from 5 to 10 Hydrogen Valleys with local production and use based in disused areas.","Italy","500","0.26","Green","Power Up"
"Production, distribution and use of Green Hydrogen - Research in the field of hydrogen","The investment aims to improve knowledge regarding the implementation of the hydrogen  vector at all stages: production, storage and distribution. Alongside the technologies, experimentation will be supported in the main segments as well as the realisation of prototypes for the industrialisation of innovative processes.","Italy","160","0.08","Green","Power Up"
"Production, distribution and use of Green Hydrogen - Simplified legal framework for hydrogen uses","To define legal framework about production, storage and use. Reducing the paperwork for small plants. Regulations and measures to inject hydrogen produced into the grid and for the building of refuellinig station","Italy","0","0","Green","Power Up"
"Production, distribution and use of Green Hydrogen - Use of hydrogen in the ‘Hard-to-abate’ industry","The aim is the progressive decarbonisation of iron-steel industry with the use of green hydrogen instead of gas in the process, likewise promoting the use of green hydrogen in other sectors as chemistry industry and refinery.","Italy","2000","1.04","Green","Power Up"
"Road safety - Applying dynamic monitoring system for remote control and safety of bridges","The road maintenance project aims to use a digital tools in order to gather, analyse and evaluate traffic data and to assess the risks to the infrastructure’s safety","Italy","0","0","Green","Recharge and Refuel"
"Road safety - Dynamic monitoring system for remote  control of the works of art (bridges, viaducts, overpasses and tunnels)","The road maintenance project aims to transfer responsability of workd of art in secontary roads to owner of main roads to increase security in secondary roads","Italy","0","0","Green","Recharge and Refuel"
"Sustainable agriculture -  Agri-solar parks","Incentives for the modernisation of the roofs of buildings for productive use in the agricultural, zootechnical and agro-industrial sectors (installation of solar panels, thermal insulation, replacement of eternity roofs, etc.) to increase the sustainability and energy efficiency of the sector, and to realise decentralised systems of energy production.","Italy","1500","0.78","Green","Power Up"
"Sustainable agriculture - Logistics for the agri-food, fishery, aquaculture, forestry and floral sectors","This component will operate through incentives to invest in the improvement of the storage capacity of agricultural raw materials, the strengthening of the infrastructure of agricultural markets and the development of an integrated logistic system for the chains of production of the sectors involved.","Italy","800","0.42","Green","Other/Uncategorised"
"Sustainable agriculture - Supply chain contracts","Incentives for projects in the agri-food, fishery, forestry and floral sectors involving investments in tangible and intangible assets aimed at the conversion of enterprises to sustainable production models.","Italy","500","0.26","Green","Other/Uncategorised"
"Sustainable local transport - Cycleways","The aims is to invest to build 570 km of urban cycleways and 1250 turistic cycleways to promote cycle mobility","Italy","600","0.31","Green","Recharge and Refuel"
"Sustainable local transport - Green Local Public Transport","Fleet renewal for regional transport by means of alternative propulsion.  Fleet renewal of buses with low environmental impact. Fleet renewal for fire fighters transport. By 2026 it is forseen the purchase of 3360 bus, 53 trains and 100 innovative coaches, 3600 electric cars or gas","Italy","3640","1.9","Green","Recharge and Refuel"
"Sustainable local transport - New measures to foster the evaluation of new projects on local public transport and rapid mass transport","The aims is to revise and simplify the procedures to plan public and rapid transport projects in municipality","Italy","0","0","Green","Recharge and Refuel"
"Sustainable local transport - Rapid Mass Transport","The aims is to realize 240 km of transport routes for rapid mass transport in the biggest urban areas (11km metro,85 km tram, 120 km filovie, 15 km funivie). Goal to move 10% of private transport to public transport.","Italy","3600","1.88","Green","Recharge and Refuel"
"Teachers enrollment and education - Digitization","To develop digital competencies between all the school staff","Italy","800","0.42","Digital","Reskill and Upskill"
"Teachers enrollment and education - Enrollment","Improve the system to recruit a teacher","Italy","0","0","Other","Reskill and Upskill"
"Teachers enrollment and education - Trainings for school staff","To build high quality of trainings for school staff","Italy","30","0.02","Other","Reskill and Upskill"
"Upgrading and digitising electricity grid infrastructure - Resilience electricity grid","The aim is increasing the resilience of the electricity distribution  network reducing stops of the grid and their economic impact","Italy","500","0.26","Green","Power Up"
"Upgrading and digitising electricity grid infrastructure - smart grid","The aim is to improve the security, digitalisation, and feasibility of national energy system increasing the amount of renewable electricity and promoting the use of electricity on final sectors","Italy","3610","1.89","Digital","Power Up"
"""future-proof hospitals""-program","The program to future-proof hospitals – which, with a volume of €3 billion, is the largest single measure in the DARP – has the objective of supporting necessary investments in modern emergency capacity and better digital infrastructure for hospitals.","Germany","3000","10.23","Digital","Modernise"
"(Re)qualification strategy (Investment) (Brussels Capital Region)","The proposed project aims to remove barriers to employment and strengthen activation policies, particularly for low-skilled workers, older workers and people from migrant backgrounds, but also for workers with disabilities; and also to improve the performance and inclusiveness of support and training systems and thus remedy the skills mismatch.","Belgium","70","0.01","Other","Reskill and Upskill"
"(Re)qualification strategy (Reform) (Brussels Capital Region)","The measure aims to boost the employability of the most vulnerable job seekers and promote sustainable labor market integration, thus reducing poverty and promoting social inclusion. The measure includes two reform projects: - Development of a new legal framework for the introduction of a competency balance and systematic vocational guidance, with an emphasis on the language and digital competencies of unemployed job seekers in the support provided by the Regional Public Employment Service. - Develop a new legal framework for the introduction of a specific premium scheme to support employers in the recruitment and sustainable integration of job seekers with disabilities.","Belgium","0","0","Other","Reskill and Upskill"
"15-minute neighbourhoods (Northern Ireland)","The Northern Ireland Executive will reduce the length of journeys by creating local hubs of 15-minute neighbourhoods. The NI Executive will work with urban planners, transport planners, private developers, central and local government to develop planning policies and spaces that bring homes and key services closer together with infrastructure solutions that support access on foot to the places and services they need. The NI Executive also aims to substitute trips by removing the necessity for people to travel by facilitating remote working and online services.","United Kingdom","0","0","Green","Modernise"
"20-minute neighbourhoods (Scotland)","The Scottish Government will take steps to support the idea of ""20 minute neighbourhoods"" where people can meet their day-to-day needs within a 20 minute walk from their house, enabling people to live healthier lives and support Scotland's net zero targets by: •	Reviewing the Town Centre Action plan  •	Incorporating it into planning policy and practice.   •	Establish a Place Based Investment Programme, linking and aligning place-based funding initiatives. As part of this programme, Scotland will invest £275 million to support community-led regeneration and town-centre revitalisation.","United Kingdom","327","0.1","Green","Modernise"
"20mph zones (Wales)","The Welsh Government will pilot 20mph zones in town and city centres","United Kingdom","0","0","Green","Recharge and Refuel"
"5.Social-assistance services, disability and marginality - Reform of disability law","This reform aims to strenght and supply a more qualified assistance and simplify the access to socio- health services. On the other hand one of the objectives is to accelerate the process of deinstitutionalisation and prevent institutionalisation through autonomy paths.","Italy","0","0","Other","Other/Uncategorised"
"5G Corridors – Develop 5G networks that will provide coverage of all Greek motorways that are part of the Trans-European transport networks","Development of 5G network infrastructure along the major Greek highways that are part of the Trans-European Transport Networks in order to serve the needs for Connected and Autonomous Mobility.","Greece","130","0.71","Digital","Connect"
"5G Roadmap","Spectrum management and allocation, reduction of deployment charges, 5G Cybersecurity Law and Support to local entities","Spain","109.6","0.16","Digital","Connect"
"A new strategy for lifelong skilling: modernising and upgrading Greece’s upskilling and reskilling system","Through a set of wide-ranging reforms and investments, the overarching objective is to increase the effectiveness, efficiency and relevance of the lifelong learning system, and reinforce upskilling and reskilling practices across sectors. The strategic aim of this bundle of reforms and investments is to develop an innovative mechanism for diagnosing labour market needs, thus, being able to design informed skills and upskilling policies. Governance will consist of the following pillars: ● Involving all key stakeholders to generate and disseminate skills intelligence and labour market needs. ● Supporting employers, citizens, education and training providers, and other stakeholders in making informed choices. ● The government, in close alignment with national policy priorities and interacting with key national bodies and stakeholders, will address skills anticipation and matching in the national context and identify possible development opportunities for the near future. The reforms and investments aim at (a) improving basic skills for all, (b) reducing skills mismatches in the context of a recovering labour market, (c) promoting financial literacy for all, (d) increasing the quality of upskilling efforts and their relevance with labour market, including by targeting policies and placing emphasis on the digital transition.","Greece","1040","5.72","Other","Reskill and Upskill"
"A6KE6K - Center for Digital and Technological Innovation and Training (Wallonia)","The project aims to address the following challenges: - Provide a digital and technological training path to the population of the region, especially to NEETs3; - More innovation projects related to the themes of energy transition, industrial communication and operational transformation of business processes (Industry 4.0); - Strengthen the reception offer of enterprises in the territory; - Encourage entrepreneurship in the region ; - Enable SMEs to respond to technological changes, including digitization and the energy transition; - Make human and technological resources accessible to as many people as possible by concentrating and pooling them in a single location, in the heart of the city and in close proximity to a multimodal hub (train station, bus and metro station, BHNS, etc.).","Belgium","86.8","0.01","Digital","Reskill and Upskill"
"Accelerate the agro-ecological transition for a food healthy, sure, sustainable, local and of quality for all","Promote environmental performance, structure local agricultural sectors, favour the developpment of shared gardens and urban agriculture, accelerate structuration of high performance sectors to answer societal challenges and allow better payment for producers","France","0","0","Green","Other/Uncategorised"
"Accelerate the roll out of charging infrastructure","The UK Government aims to accelerate the roll out of charging infrastructure, targeting rapid charge points on motorways and major roads and installing more on-street charging points near homes and workplaces to make charging as easy as refuelling a petrol or diesel car.","United Kingdom","0","0.48","Green","Recharge and Refuel"
"Accelerate works on transports infrastructures","Development of charging points along the roads, promoting and accelerating the transition from cars to rail transport mode, modernisation of the fluvial network in order to make fluvial transport an alternative to road transport","France","350","0.86","Green","Recharge and Refuel"
"Accelerating the administration of justice","This multi-faceted, flagship reform will accelerate the administration of justice, and contribute decisively in the economic and institutional transformation of the country. It encompasses: ● financial incentives for judicial clerks for a reduction in court backlog; ● evaluating the spatial planning, organisation and administration of court buildings; ● establishing an independent office for the systematic collection, processing and monitoring of data for the proper functioning of the judicial system; ● updating legislation to speed up court proceedings.","Greece","20","0.11","Other","Other/Uncategorised"
"Acceleration MaaS rollout (Brussels Capital Region)","The project aims to accelerate the adoption of the As a Service approach as a solution to everyday travel and change the scale of a practice that remains marginal today.","Belgium","5.65","0","Green","Recharge and Refuel"
"Acceleration of smart manufacturing","The proposal refers to financial support for small and medium enterprises in the industrial sector, in order to upgrade their manufacturing equipment and infrastructure with state-of-the-art smart technologies with low environmental impact. Moreover, the program will support industrial schemes / clusters of enterprises in important industrial value chains that promote the competitiveness of the Greek industry and its transition to Industry 4.0.","Greece","75","0.41","Digital","Power Up"
"accompanying young peoples towards employment with community aid projects","Increase the number of contractualised accompanying towards employment and autonomy and the young garanty","France","233","0.57","Other","Other/Uncategorised"
"Accounting reform","The reform implements a gradual transition to accrual accounting and consolidated financial reporting within the general government. It entails the issuance of accrual accounting policies, training of the relevant personnel, and the design and introduction of the Government Enterprise Resource Planning (GOV-ERP).","Greece","0","0","Other","Other/Uncategorised"
"Acquisition of new skills for digital, green and productive transformation","Actions, through the call for subsidies or contracting at the state level, aimed at reinforcing training and employability of workers related to the digital and green transition and productive transformation.","Spain","434.5","0.62","Other","Reskill and Upskill"
"Actions for Special Economic Zones (ZES)","These actions aim to increase the attractiveness of ZES through a series of infractural investments: (i) railway connections between industrial sites and SNIT and TEN-T; (ii) basic infrastructure and urban planning regulations; (iii) transport system.","Italy","630","0.33","Other","Other/Uncategorised"
"Actions for the simplification of the business environment and its upgrading in quality and safety","A set of reforms aiming to simplify procedures, ease administrative and regulatory burden on businesses while enhancing regulatory certainty and quality, which will facilitate firm entry, investment and job creation. It includes, among others: extending licensing reforms to additional economic activities, codifying legislation, and reviewing quality policy (standardisation, certification, etc.) to address the challenges of green and digital transition.","Greece","2","0.01","Other","Other/Uncategorised"
"Actions to improve the quality and reliability of the Cercanias service","The objective is to maximize the use of the collective transport services of Cercanías railways, mainly reducing the use of private vehicles in urban and metropolitan areas.","Spain","1620","2.3","Green","Recharge and Refuel"
"Actions to reinforce the prevention and promotion of Health","This investment aims to strengthen the preventive and health promotion capacity to avoid the appearance of diseases.","Spain","62.05","0.09","Other","Other/Uncategorised"
"Active Inclusion Programme (Wales)","The Welsh Government has committed to providing increased funding for the programme, which provides opportunities for marginalised people to find work and training opportunities.","United Kingdom","0","0","Other","Reskill and Upskill"
"Active labour market policies reform","The reform of active labour market policies (ALMP) aims to maximize the effectiveness of the ALMP toolbox through the redesign, strengthening and overall revamping of its ALMP portfolio. It is coupled with significant investments, specifically in: ● programmes that subsidize employment in the private sector for the unemployed, ● including targeting specific segments, e.g. providing younger unemployed persons with the opportunity to gain work experience through paid full-time internships; ● expanding the open-framework delivery model for ALMPs, based on the lessons learned from a pilot project, to three additional sites; ● upskilling and reskilling the labour force; ● boosting the capacity of the public employment service (OAED), especially as it relates to counseling services, during the transition period to a full-scale reorganization, as well as the quality and intensity of services. In addition to combating unemployment and promoting social cohesion, the proposed measure promotes hiring, prevents layoffs and incentivizes growth through lower initial labour wage or non-wage costs, thus facilitating the transition from unemployment to full-time employment.","Greece","479","2.63","Other","Reskill and Upskill"
"Active labour policies and support for employment - Active labour policies and new skills of workers.","The aim is to reform active policies through the full integration of skills retraining pathways to support workers in transition in employment through the establishment of a national “employment guarantee” programme (GOL). The aim is to strengthen employment centres so that they can systematically and extensively carry out activities to analyse skills needs, to build training plans and, therefore, to guide and accompany work in a system involving both public and private entities. The reform will be partially funded by REACT-EU.","Italy","4400","2.3","Other","Reskill and Upskill"
"Active labour policies and support for employment - Certificates for gender equality","The aim of this investemnt is to incentivise the adoption of policies to reduce the gender gap. There are 3 main activities: (i) definition of a certificate for gender equality through the establishment of an ad hoc commission at the Ministry for Equal Opportunities; (ii) a digital list to collect information on the certification and other relevant data on gender isuues; (iii) starting of the certification for all enterprises from 2022.","Italy","10","0.01","Other","Other/Uncategorised"
"Active labour policies and support for employment - Dual apprenticeship","It is planned to strengthen the dual system with the aim of (i) making education and training systems increasingly synergistic with the labour market, (ii) fostering the employability of young people through the acquisition of new skills, with the modality of learning on the job spendable on the labour market. The aim is to set up training paths that meet the needs of the companies to reduce the mismatch between skills required in the labour market and those out of education and training paths in order to get out of the crisis and to engage in recovery.","Italy","600","0.31","Other","Reskill and Upskill"
"Active labour policies and support for employment - Empowering of employment centres","Employment centres are to be strengthened and are integrated with the education and training system through the network of private operators. Specifically, action will be taken in the redefinition of the tools for taking care of the unemployed with active policies that, starting from the profiling of the person, allow the construction of personalised paths for retraining skills and accompanying work. At the same time, training standards will be set for the unemployed in employment centres and the strengthening of the vocational training system in Italy, promoting a territorial network of education, training and work services, including through public-private partnerships (including in the forms of industry academy).","Italy","600","0.31","Other","Reskill and Upskill"
